epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,413.744,1.96684,2.28786,1.21384,0.68263,0.30627,0.37102,0.1964,1.58722,2.17905,1.08825,0.000546557,0.000546557,0.000546557
2,1078.43,1.43187,0.92144,0.99986,0.82452,0.247,0.32304,0.21601,1.22927,1.15083,0.97069,0.000883984,0.000883984,0.000883984
3,1879.51,1.23015,0.73435,0.94471,0.88886,0.18389,0.2641,0.18351,1.15273,0.84651,0.94272,0.00100137,0.00100137,0.00100137
4,2753.2,1.11057,0.66245,0.91456,0.95349,0.20455,0.28531,0.21311,0.96249,0.6264,0.89778,0.000676802,0.000676802,0.000676802
5,3802.35,1.01026,0.61502,0.89282,0.97139,0.17159,0.24529,0.19134,0.86088,0.53132,0.87416,0.000346736,0.000346736,0.000346736
